CRIM,AGE,RM,INDUS,NOX,DIS,TAX,PTRATIO,LSTAT,MEDV
0.00632,65.2,6.575,2.31,0.538,4.09,296,15.3,4.98,24
0.02731,78.9,6.421,7.07,0.469,4.9671,242,17.8,9.14,21.6
0.02729,61.1,7.185,7.07,0.469,4.9671,242,17.8,4.03,34.7
0.03237,45.8,6.998,2.18,0.458,6.0622,222,18.7,2.94,33.4
0.06905,54.2,7.147,2.18,0.458,6.0622,222,18.7,5.33,36.2
0.02985,58.7,6.43,2.18,0.458,6.0622,222,18.7,5.21,28.7
0.08829,66.6,6.012,7.87,0.524,5.5605,311,15.2,12.43,22.9
0.14455,96.1,6.172,7.87,0.524,5.9505,311,15.2,19.15,27.1
0.21124,100,5.631,7.87,0.524,6.0821,311,15.2,29.93,16.5
0.17004,85.9,6.004,7.87,0.524,6.5921,311,15.2,17.1,18.9
0.22489,94.3,6.377,7.87,0.524,6.3467,311,15.2,20.45,15
0.11747,82.9,6.009,7.87,0.524,6.2267,311,15.2,13.27,18.9
0.09378,39,5.889,7.87,0.524,5.4509,311,15.2,15.71,21.7
0.62976,61.8,5.949,8.14,0.538,4.7075,307,21,8.26,20.4
0.63796,84.5,6.096,8.14,0.538,4.4619,307,21,10.26,18.2
0.62739,56.5,5.834,8.14,0.538,4.4986,307,21,8.47,19.9
1.05393,29.3,5.935,8.14,0.538,4.4986,307,21,6.58,23.1
0.7842,81.7,5.99,8.14,0.538,4.2579,307,21,14.67,17.5
0.80271,36.6,5.456,8.14,0.538,3.7965,307,21,11.69,20.2
0.7258,69.5,5.727,8.14,0.538,3.7965,307,21,11.28,18.2
1.25179,98.1,5.57,8.14,0.538,3.7979,307,21,21.02,13.6
0.85204,89.2,5.965,8.14,0.538,4.0123,307,21,13.83,19.6
1.23247,91.7,6.142,8.14,0.538,3.9769,307,21,18.72,15.2
0.98843,100,5.813,8.14,0.538,4.0952,307,21,19.88,14.5
0.75026,94.1,5.924,8.14,0.538,4.3996,307,21,16.3,15.6
0.84054,85.7,5.599,8.14,0.538,4.4546,307,21,16.51,13.9
0.67191,90.3,5.813,8.14,0.538,4.682,307,21,14.81,16.6
0.95577,88.8,6.047,8.14,0.538,4.4534,307,21,17.28,14.8
0.77299,94.4,6.495,8.14,0.538,4.4547,307,21,12.8,18.4
1.00245,87.3,6.674,8.14,0.538,4.239,307,21,11.98,21
1.13081,94.1,5.713,8.14,0.538,4.233,307,21,22.6,12.7
1.35472,100,6.072,8.14,0.538,4.175,307,21,13.04,14.5
1.38799,82,5.95,8.14,0.538,3.99,307,21,27.71,13.2
1.15172,95,5.701,8.14,0.538,3.7872,307,21,18.35,13.1
1.61282,96.9,6.096,8.14,0.538,3.7598,307,21,20.34,13.5
0.06417,68.2,5.933,5.96,0.499,3.3603,279,19.2,9.68,18.9
0.09744,61.4,5.841,5.96,0.499,3.3779,279,19.2,11.41,20
0.08014,41.5,5.85,5.96,0.499,3.9342,279,19.2,8.77,21
0.17505,30.2,5.966,5.96,0.499,3.8473,279,19.2,10.13,24.7
0.02763,21.8,6.595,2.95,0.428,5.4011,252,18.3,4.32,30.8
0.03359,15.8,7.024,2.95,0.428,5.4011,252,18.3,1.98,34.9
0.12744,2.9,6.77,6.91,0.448,5.7209,233,17.9,4.84,26.6
0.1415,6.6,6.169,6.91,0.448,5.7209,233,17.9,5.81,25.3
0.15936,6.5,6.211,6.91,0.448,5.7209,233,17.9,7.44,24.7
0.12269,40,6.069,6.91,0.448,5.7209,233,17.9,9.55,21.2
0.17142,33.8,5.682,6.91,0.448,5.1004,233,17.9,10.21,19.3
0.18836,33.3,5.786,6.91,0.448,5.1004,233,17.9,14.15,20
0.22927,85.5,6.03,6.91,0.448,5.6894,233,17.9,18.8,16.6
0.25387,95.3,5.399,6.91,0.448,5.87,233,17.9,30.81,14.4
0.21977,62,5.602,6.91,0.448,6.0877,233,17.9,16.2,19.4
0.08873,45.7,5.963,5.64,0.439,6.8147,243,16.8,13.45,19.7
0.04337,63,6.115,5.64,0.439,6.8147,243,16.8,9.43,20.5
0.0536,21.1,6.511,5.64,0.439,6.8147,243,16.8,5.28,25
0.04981,21.4,5.998,5.64,0.439,6.8147,243,16.8,8.43,23.4
0.0136,47.6,5.888,4,0.41,7.3197,469,21.1,14.8,18.9
0.01311,21.9,7.249,1.22,0.403,8.6966,226,17.9,4.81,35.4
0.02055,35.7,6.383,0.74,0.41,9.1876,313,17.3,5.77,24.7
0.01432,40.5,6.816,1.32,0.411,8.3248,256,15.1,3.95,31.6
0.15445,29.2,6.145,5.13,0.453,7.8148,284,19.7,6.86,23.3
0.10328,47.2,5.927,5.13,0.453,6.932,284,19.7,9.22,19.6
0.14932,66.2,5.741,5.13,0.453,7.2254,284,19.7,13.15,18.7
0.17171,93.4,5.966,5.13,0.453,6.8185,284,19.7,14.44,16
0.11027,67.8,6.456,5.13,0.453,7.2255,284,19.7,6.73,22.2
0.1265,43.4,6.762,5.13,0.453,7.9809,284,19.7,9.5,25
0.01951,59.5,7.104,1.38,0.4161,9.2229,216,18.6,8.05,33
0.03584,17.8,6.29,3.37,0.398,6.6115,337,16.1,4.67,23.5
0.04379,31.1,5.787,3.37,0.398,6.6115,337,16.1,10.24,19.4
0.05789,21.4,5.878,6.07,0.409,6.498,345,18.9,8.1,22
0.13554,36.8,5.594,6.07,0.409,6.498,345,18.9,13.09,17.4
0.12816,33,5.885,6.07,0.409,6.498,345,18.9,8.79,20.9
0.08826,6.6,6.417,10.81,0.413,5.2873,305,19.2,6.72,24.2
0.15876,17.5,5.961,10.81,0.413,5.2873,305,19.2,9.88,21.7
0.09164,7.8,6.065,10.81,0.413,5.2873,305,19.2,5.52,22.8
0.19539,6.2,6.245,10.81,0.413,5.2873,305,19.2,7.54,23.4
0.07896,6,6.273,12.83,0.437,4.2515,398,18.7,6.78,24.1
0.09512,45,6.286,12.83,0.437,4.5026,398,18.7,8.94,21.4
0.10153,74.5,6.279,12.83,0.437,4.0522,398,18.7,11.97,20
0.08707,45.8,6.14,12.83,0.437,4.0905,398,18.7,10.27,20.8
0.05646,53.7,6.232,12.83,0.437,5.0141,398,18.7,12.34,21.2
0.08387,36.6,5.874,12.83,0.437,4.5026,398,18.7,9.1,20.3
0.04113,33.5,6.727,4.86,0.426,5.4007,281,19,5.29,28
0.04462,70.4,6.619,4.86,0.426,5.4007,281,19,7.22,23.9
0.03659,32.2,6.302,4.86,0.426,5.4007,281,19,6.72,24.8
0.03551,46.7,6.167,4.86,0.426,5.4007,281,19,7.51,22.9
0.05059,48,6.389,4.49,0.449,4.7794,247,18.5,9.62,23.9
0.05735,56.1,6.63,4.49,0.449,4.4377,247,18.5,6.53,26.6
0.05188,45.1,6.015,4.49,0.449,4.4272,247,18.5,12.86,22.5
0.07151,56.8,6.121,4.49,0.449,3.7476,247,18.5,8.44,22.2
0.0566,86.3,7.007,3.41,0.489,3.4217,270,17.8,5.5,23.6
0.05302,63.1,7.079,3.41,0.489,3.4145,270,17.8,5.7,28.7
0.04684,66.1,6.417,3.41,0.489,3.0923,270,17.8,8.81,22.6
0.03932,73.9,6.405,3.41,0.489,3.0921,270,17.8,8.2,22
0.04203,53.6,6.442,15.04,0.464,3.6659,270,18.2,8.16,22.9
0.02875,28.9,6.211,15.04,0.464,3.6659,270,18.2,6.21,25
0.04294,77.3,6.249,15.04,0.464,3.615,270,18.2,10.59,20.6
0.12204,57.8,6.625,2.89,0.445,3.4952,276,18,6.65,28.4
0.11504,69.6,6.163,2.89,0.445,3.4952,276,18,11.34,21.4
0.12083,76,8.069,2.89,0.445,3.4952,276,18,4.21,38.7
0.08187,36.9,7.82,2.89,0.445,3.4952,276,18,3.57,43.8
0.0686,62.5,7.416,2.89,0.445,3.4952,276,18,6.19,33.2
0.14866,79.9,6.727,8.56,0.52,2.7778,384,20.9,9.42,27.5
0.11432,71.3,6.781,8.56,0.52,2.8561,384,20.9,7.67,26.5
0.22876,85.4,6.405,8.56,0.52,2.7147,384,20.9,10.63,18.6
0.21161,87.4,6.137,8.56,0.52,2.7147,384,20.9,13.44,19.3
0.1396,90,6.167,8.56,0.52,2.421,384,20.9,12.33,20.1
0.13262,96.7,5.851,8.56,0.52,2.1069,384,20.9,16.47,19.5
0.1712,91.9,5.836,8.56,0.52,2.211,384,20.9,18.66,19.5
0.13117,85.2,6.127,8.56,0.52,2.1224,384,20.9,14.09,20.4
0.12802,97.1,6.474,8.56,0.52,2.4329,384,20.9,12.27,19.8
0.26363,91.2,6.229,8.56,0.52,2.5451,384,20.9,15.55,19.4
0.10793,54.4,6.195,8.56,0.52,2.7778,384,20.9,13,21.7
0.10084,81.6,6.715,10.01,0.547,2.6775,432,17.8,10.16,22.8
0.12329,92.9,5.913,10.01,0.547,2.3534,432,17.8,16.21,18.8
0.22212,95.4,6.092,10.01,0.547,2.548,432,17.8,17.09,18.7
0.14231,84.2,6.254,10.01,0.547,2.2565,432,17.8,10.45,18.5
0.17134,88.2,5.928,10.01,0.547,2.4631,432,17.8,15.76,18.3
0.13158,72.5,6.176,10.01,0.547,2.7301,432,17.8,12.04,21.2
0.15098,82.6,6.021,10.01,0.547,2.7474,432,17.8,10.3,19.2
0.13058,73.1,5.872,10.01,0.547,2.4775,432,17.8,15.37,20.4
0.14476,65.2,5.731,10.01,0.547,2.7592,432,17.8,13.61,19.3
0.06899,69.7,5.87,25.65,0.581,2.2577,188,19.1,14.37,22
0.07165,84.1,6.004,25.65,0.581,2.1974,188,19.1,14.27,20.3
0.09299,92.9,5.961,25.65,0.581,2.0869,188,19.1,17.93,20.5
0.15038,97,5.856,25.65,0.581,1.9444,188,19.1,25.41,17.3
0.09849,95.8,5.879,25.65,0.581,2.0063,188,19.1,17.58,18.8
0.16902,88.4,5.986,25.65,0.581,1.9929,188,19.1,14.81,21.4
0.38735,95.6,5.613,25.65,0.581,1.7572,188,19.1,27.26,15.7
0.25915,96,5.693,21.89,0.624,1.7883,437,21.2,17.19,16.2
0.32543,98.8,6.431,21.89,0.624,1.8125,437,21.2,15.39,18
0.88125,94.7,5.637,21.89,0.624,1.9799,437,21.2,18.34,14.3
0.34006,98.9,6.458,21.89,0.624,2.1185,437,21.2,12.6,19.2
1.19294,97.7,6.326,21.89,0.624,2.271,437,21.2,12.26,19.6
0.59005,97.9,6.372,21.89,0.624,2.3274,437,21.2,11.12,23
0.32982,95.4,5.822,21.89,0.624,2.4699,437,21.2,15.03,18.4
0.97617,98.4,5.757,21.89,0.624,2.346,437,21.2,17.31,15.6
0.55778,98.2,6.335,21.89,0.624,2.1107,437,21.2,16.96,18.1
0.32264,93.5,5.942,21.89,0.624,1.9669,437,21.2,16.9,17.4
0.35233,98.4,6.454,21.89,0.624,1.8498,437,21.2,14.59,17.1
0.2498,98.2,5.857,21.89,0.624,1.6686,437,21.2,21.32,13.3
0.54452,97.9,6.151,21.89,0.624,1.6687,437,21.2,18.46,17.8
0.2909,93.6,6.174,21.89,0.624,1.6119,437,21.2,24.16,14
1.62864,100,5.019,21.89,0.624,1.4394,437,21.2,34.41,14.4
3.32105,100,5.403,19.58,0.871,1.3216,403,14.7,26.82,13.4
4.0974,100,5.468,19.58,0.871,1.4118,403,14.7,26.42,15.6
2.77974,97.8,4.903,19.58,0.871,1.3459,403,14.7,29.29,11.8
2.37934,100,6.13,19.58,0.871,1.4191,403,14.7,27.8,13.8
2.15505,100,5.628,19.58,0.871,1.5166,403,14.7,16.65,15.6
2.36862,95.7,4.926,19.58,0.871,1.4608,403,14.7,29.53,14.6
2.33099,93.8,5.186,19.58,0.871,1.5296,403,14.7,28.32,17.8
2.73397,94.9,5.597,19.58,0.871,1.5257,403,14.7,21.45,15.4
1.6566,97.3,6.122,19.58,0.871,1.618,403,14.7,14.1,21.5
1.49632,100,5.404,19.58,0.871,1.5916,403,14.7,13.28,19.6
1.12658,88,5.012,19.58,0.871,1.6102,403,14.7,12.12,15.3
2.14918,98.5,5.709,19.58,0.871,1.6232,403,14.7,15.79,19.4
1.41385,96,6.129,19.58,0.871,1.7494,403,14.7,15.12,17
3.53501,82.6,6.152,19.58,0.871,1.7455,403,14.7,15.02,15.6
2.44668,94,5.272,19.58,0.871,1.7364,403,14.7,16.14,13.1
1.22358,97.4,6.943,19.58,0.605,1.8773,403,14.7,4.59,41.3
1.34284,100,6.066,19.58,0.605,1.7573,403,14.7,6.43,24.3
1.42502,100,6.51,19.58,0.871,1.7659,403,14.7,7.39,23.3
1.27346,92.6,6.25,19.58,0.605,1.7984,403,14.7,5.5,27
1.46336,90.8,7.489,19.58,0.605,1.9709,403,14.7,1.73,50
1.83377,98.2,7.802,19.58,0.605,2.0407,403,14.7,1.92,50
1.51902,93.9,8.375,19.58,0.605,2.162,403,14.7,3.32,50
2.24236,91.8,5.854,19.58,0.605,2.422,403,14.7,11.64,22.7
2.924,93,6.101,19.58,0.605,2.2834,403,14.7,9.81,25
2.01019,96.2,7.929,19.58,0.605,2.0459,403,14.7,3.7,50
1.80028,79.2,5.877,19.58,0.605,2.4259,403,14.7,12.14,23.8
2.3004,96.1,6.319,19.58,0.605,2.1,403,14.7,11.1,23.8
2.44953,95.2,6.402,19.58,0.605,2.2625,403,14.7,11.32,22.3
1.20742,94.6,5.875,19.58,0.605,2.4259,403,14.7,14.43,17.4
2.3139,97.3,5.88,19.58,0.605,2.3887,403,14.7,12.03,19.1
0.13914,88.5,5.572,4.05,0.51,2.5961,296,16.6,14.69,23.1
0.09178,84.1,6.416,4.05,0.51,2.6463,296,16.6,9.04,23.6
0.08447,68.7,5.859,4.05,0.51,2.7019,296,16.6,9.64,22.6
0.06664,33.1,6.546,4.05,0.51,3.1323,296,16.6,5.33,29.4
0.07022,47.2,6.02,4.05,0.51,3.5549,296,16.6,10.11,23.2
0.05425,73.4,6.315,4.05,0.51,3.3175,296,16.6,6.29,24.6
0.06642,74.4,6.86,4.05,0.51,2.9153,296,16.6,6.92,29.9
0.0578,58.4,6.98,2.46,0.488,2.829,193,17.8,5.04,37.2
0.06588,83.3,7.765,2.46,0.488,2.741,193,17.8,7.56,39.8
0.06888,62.2,6.144,2.46,0.488,2.5979,193,17.8,9.45,36.2
0.09103,92.2,7.155,2.46,0.488,2.7006,193,17.8,4.82,37.9
0.10008,95.6,6.563,2.46,0.488,2.847,193,17.8,5.68,32.5
0.08308,89.8,5.604,2.46,0.488,2.9879,193,17.8,13.98,26.4
0.06047,68.8,6.153,2.46,0.488,3.2797,193,17.8,13.15,29.6
0.05602,53.6,7.831,2.46,0.488,3.1992,193,17.8,4.45,50
0.07875,41.1,6.782,3.44,0.437,3.7886,398,15.2,6.68,32
0.12579,29.1,6.556,3.44,0.437,4.5667,398,15.2,4.56,29.8
0.0837,38.9,7.185,3.44,0.437,4.5667,398,15.2,5.39,34.9
0.09068,21.5,6.951,3.44,0.437,6.4798,398,15.2,5.1,37
0.06911,30.8,6.739,3.44,0.437,6.4798,398,15.2,4.69,30.5
0.08664,26.3,7.178,3.44,0.437,6.4798,398,15.2,2.87,36.4
0.02187,9.9,6.8,2.93,0.401,6.2196,265,15.6,5.03,31.1
0.01439,18.8,6.604,2.93,0.401,6.2196,265,15.6,4.38,29.1
0.01381,32,7.875,0.46,0.422,5.6484,255,14.4,2.97,50
0.04011,34.1,7.287,1.52,0.404,7.309,329,12.6,4.08,33.3
0.04666,36.6,7.107,1.52,0.404,7.309,329,12.6,8.61,30.3
0.03768,38.3,7.274,1.52,0.404,7.309,329,12.6,6.62,34.6
0.0315,15.3,6.975,1.47,0.403,7.6534,402,17,4.56,34.9
0.01778,13.9,7.135,1.47,0.403,7.6534,402,17,4.45,32.9
0.03445,38.4,6.162,2.03,0.415,6.27,348,14.7,7.43,24.1
0.02177,15.7,7.61,2.03,0.415,6.27,348,14.7,3.11,42.3
0.0351,33.2,7.853,2.68,0.4161,5.118,224,14.7,3.81,48.5
0.02009,31.9,8.034,2.68,0.4161,5.118,224,14.7,2.88,50
0.13642,22.3,5.891,10.59,0.489,3.9454,277,18.6,10.87,22.6
0.22969,52.5,6.326,10.59,0.489,4.3549,277,18.6,10.97,24.4
0.25199,72.7,5.783,10.59,0.489,4.3549,277,18.6,18.06,22.5
0.13587,59.1,6.064,10.59,0.489,4.2392,277,18.6,14.66,24.4
0.43571,100,5.344,10.59,0.489,3.875,277,18.6,23.09,20
0.17446,92.1,5.96,10.59,0.489,3.8771,277,18.6,17.27,21.7
0.37578,88.6,5.404,10.59,0.489,3.665,277,18.6,23.98,19.3
0.21719,53.8,5.807,10.59,0.489,3.6526,277,18.6,16.03,22.4
0.14052,32.3,6.375,10.59,0.489,3.9454,277,18.6,9.38,28.1
0.28955,9.8,5.412,10.59,0.489,3.5875,277,18.6,29.55,23.7
0.19802,42.4,6.182,10.59,0.489,3.9454,277,18.6,9.47,25
0.0456,56,5.888,13.89,0.55,3.1121,276,16.4,13.51,23.3
0.07013,85.1,6.642,13.89,0.55,3.4211,276,16.4,9.69,28.7
0.11069,93.8,5.951,13.89,0.55,2.8893,276,16.4,17.92,21.5
0.11425,92.4,6.373,13.89,0.55,3.3633,276,16.4,10.5,23
0.35809,88.5,6.951,6.2,0.507,2.8617,307,17.4,9.71,26.7
0.40771,91.3,6.164,6.2,0.507,3.048,307,17.4,21.46,21.7
0.62356,77.7,6.879,6.2,0.507,3.2721,307,17.4,9.93,27.5
0.6147,80.8,6.618,6.2,0.507,3.2721,307,17.4,7.6,30.1
0.31533,78.3,8.266,6.2,0.504,2.8944,307,17.4,4.14,44.8
0.52693,83,8.725,6.2,0.504,2.8944,307,17.4,4.63,50
0.38214,86.5,8.04,6.2,0.504,3.2157,307,17.4,3.13,37.6
0.41238,79.9,7.163,6.2,0.504,3.2157,307,17.4,6.36,31.6
0.29819,17,7.686,6.2,0.504,3.3751,307,17.4,3.92,46.7
0.44178,21.4,6.552,6.2,0.504,3.3751,307,17.4,3.76,31.5
0.537,68.1,5.981,6.2,0.504,3.6715,307,17.4,11.65,24.3
0.46296,76.9,7.412,6.2,0.504,3.6715,307,17.4,5.25,31.7
0.57529,73.3,8.337,6.2,0.507,3.8384,307,17.4,2.47,41.7
0.33147,70.4,8.247,6.2,0.507,3.6519,307,17.4,3.95,48.3
0.44791,66.5,6.726,6.2,0.507,3.6519,307,17.4,8.05,29
0.33045,61.5,6.086,6.2,0.507,3.6519,307,17.4,10.88,24
0.52058,76.5,6.631,6.2,0.507,4.148,307,17.4,9.54,25.1
0.51183,71.6,7.358,6.2,0.507,4.148,307,17.4,4.73,31.5
0.08244,18.5,6.481,4.93,0.428,6.1899,300,16.6,6.36,23.7
0.09252,42.2,6.606,4.93,0.428,6.1899,300,16.6,7.37,23.3
0.11329,54.3,6.897,4.93,0.428,6.3361,300,16.6,11.38,22
0.10612,65.1,6.095,4.93,0.428,6.3361,300,16.6,12.4,20.1
0.1029,52.9,6.358,4.93,0.428,7.0355,300,16.6,11.22,22.2
0.12757,7.8,6.393,4.93,0.428,7.0355,300,16.6,5.19,23.7
0.20608,76.5,5.593,5.86,0.431,7.9549,330,19.1,12.5,17.6
0.19133,70.2,5.605,5.86,0.431,7.9549,330,19.1,18.46,18.5
0.33983,34.9,6.108,5.86,0.431,8.0555,330,19.1,9.16,24.3
0.19657,79.2,6.226,5.86,0.431,8.0555,330,19.1,10.15,20.5
0.16439,49.1,6.433,5.86,0.431,7.8265,330,19.1,9.52,24.5
0.19073,17.5,6.718,5.86,0.431,7.8265,330,19.1,6.56,26.2
0.1403,13,6.487,5.86,0.431,7.3967,330,19.1,5.9,24.4
0.21409,8.9,6.438,5.86,0.431,7.3967,330,19.1,3.59,24.8
